pid|price_tier|tags
900087|mid|party;youthful;pink-coded;casual
900088|mid|evening;date-night;cold-weather;modern;youthful
900089|mid|date-night;party;evening;compliment-getter;sensual;cold-weather;youthful;statement
900090|mid|pink-coded;romantic;youthful;versatile
900091|mid|youthful;party;date-night;compliment-getter
900092|luxury|classic;mature-elegant;office-safe;formal
900093|luxury|classic;mature-elegant;office-safe;versatile
900094|luxury|sporty;hot-weather;casual;clean;office-safe;blind-buy-safe
900095|luxury|office-safe;versatile;signature;blind-buy-safe;crowd-pleaser;formal;compliment-getter;modern
900096|luxury|office-safe;mature-elegant;formal;versatile;signature
900097|luxury|signature;versatile;office-safe;classic;crowd-pleaser
900098|luxury|hot-weather;office-safe;compliment-getter;versatile;clean;signature;modern
900099|luxury|office-safe;pink-coded;youthful;blind-buy-safe;clean;crowd-pleaser;versatile
900100|luxury|classic;evening;formal;cold-weather;mature-elegant;statement
900101|luxury|office-safe;signature;versatile;classic;mature-elegant;compliment-getter
900102|luxury|mature-elegant;evening;cold-weather;compliment-getter;formal
900103|luxury|evening;mature-elegant;cold-weather;formal;date-night
900104|luxury|classic;office-safe;hot-weather;mature-elegant;understated
900105|luxury|classic;mature-elegant;cold-weather;signature
900106|luxury|office-safe;wedding;clean;versatile
900107|luxury|mature-elegant;formal;wedding;signature
900108|luxury|classic;office-safe;mature-elegant;formal;understated
900109|luxury|classic;mature-elegant;formal;wedding
900110|luxury|classic;mature-elegant;formal;signature;evening;statement
900111|luxury|office-safe;clean;versatile;hot-weather
900112|mid|pink-coded;office-safe;romantic;clean;mature-elegant;crowd-pleaser;wedding;classic;blind-buy-safe;versatile
900113|mid|office-safe;mature-elegant;modern;versatile;travel-friendly
900114|mid|mature-elegant;cold-weather;modern
900115|mid|classic;beast-mode;polarizing;statement;cold-weather;mature-elegant
900116|niche|statement;signature;compliment-getter;evening
900117|niche|compliment-getter;signature;crowd-pleaser;versatile;office-safe;statement
900118|niche|versatile;office-safe;modern;signature
900119|niche|classic;office-safe;clean;versatile;mature-elegant
900120|niche|understated;office-safe;clean;hot-weather
900121|niche|hot-weather;clean;office-safe;classic;understated
900122|niche|cold-weather;cosy;evening;mature-elegant
900123|niche|understated;office-safe;versatile;mature-elegant
900124|niche|clean;office-safe;hot-weather;classic;versatile;understated
900125|niche|versatile;office-safe;casual
900126|niche|hot-weather;travel-friendly;compliment-getter;casual;party
900127|budget|casual;office-safe;versatile;clean;blind-buy-safe
900128|budget|sporty;casual;hot-weather;office-safe;clean
900129|budget|hot-weather;classic;sporty;casual;blind-buy-safe;humid-safe;clean;office-safe
900130|budget|hot-weather;humid-safe;classic;casual;clean
900131|budget|cold-weather;casual;polarizing;evening
900132|budget|casual;versatile;cosy
900133|budget|mature-elegant;office-safe;understated;cold-weather
900134|budget|casual;office-safe;versatile;understated
900135|luxury|formal;evening;date-night;mature-elegant;classic;cold-weather;wedding;romantic;office-safe;compliment-getter;signature
900136|luxury|classic;office-safe;mature-elegant;understated;romantic
900137|luxury|classic;office-safe;hot-weather;mature-elegant;casual;understated;formal
900138|luxury|classic;polarizing;mature-elegant;cold-weather;statement;signature
900139|luxury|sensual;evening;date-night;cold-weather;classic;compliment-getter;cosy;romantic
900140|luxury|crowd-pleaser;office-safe;wedding;versatile;blind-buy-safe;mature-elegant;classic;signature
900141|luxury|office-safe;clean;understated;hot-weather
900142|luxury|office-safe;clean;understated;versatile
900143|luxury|pink-coded;youthful;romantic;blind-buy-safe
900144|luxury|office-safe;romantic;wedding;pink-coded;youthful;clean;blind-buy-safe
900145|luxury|romantic;office-safe;pink-coded;wedding;versatile
900146|luxury|classic;evening;statement;beast-mode;polarizing;cold-weather
900147|luxury|youthful;date-night;cold-weather;party
900148|luxury|classic;mature-elegant;wedding;formal;compliment-getter
900149|luxury|crowd-pleaser;compliment-getter;versatile;modern;casual;youthful
900150|luxury|crowd-pleaser;compliment-getter;versatile;date-night;modern
900151|luxury|beast-mode;cold-weather;evening;compliment-getter;statement;sensual;date-night
900152|luxury|versatile;mature-elegant;crowd-pleaser;office-safe;date-night
900153|niche|hot-weather;office-safe;romantic;understated;wedding;mature-elegant
900154|niche|cosy;versatile;understated;casual
900155|niche|office-safe;clean;understated;hot-weather;romantic
900156|niche|skin-scent;office-safe;understated;clean
900157|niche|modern;versatile;office-safe;understated
900158|niche|hot-weather;humid-safe;casual;understated;travel-friendly;classic
900159|niche|office-safe;understated;cosy;skin-scent;classic
900160|mid|cosy;cold-weather;compliment-getter;modern
900161|mid|casual;office-safe;versatile;modern
900162|mid|hot-weather;casual;crowd-pleaser;blind-buy-safe;youthful;travel-friendly;classic;humid-safe
900163|mid|hot-weather;humid-safe;crowd-pleaser;blind-buy-safe;casual
900164|mid|hot-weather;casual;sporty;blind-buy-safe;crowd-pleaser;travel-friendly;clean;humid-safe
900165|mid|office-safe;date-night;cold-weather;versatile;understated;blind-buy-safe;evening;romantic;mature-elegant;cosy
900166|budget|hot-weather;humid-safe;casual;clean;office-safe;understated;blind-buy-safe;travel-friendly
900167|budget|classic;mature-elegant;evening;statement;cold-weather;formal;romantic;wedding
900168|mid|skin-scent;office-safe;understated;modern;clean;versatile
900169|mid|office-safe;classic;clean;mature-elegant;blind-buy-safe
900170|mid|classic;clean;office-safe;mature-elegant;hot-weather
900171|mid|classic;beast-mode;cold-weather;evening;mature-elegant;polarizing
900172|niche|wedding;office-safe;romantic;versatile;youthful;compliment-getter
900173|niche|statement;romantic;date-night;hot-weather
900174|niche|clean;office-safe;versatile;formal
900175|niche|mature-elegant;office-safe;understated;formal;cosy;classic
900176|niche|romantic;pink-coded;polarizing
900177|niche|sensual;date-night;cold-weather;beast-mode;evening
900178|niche|statement;evening;cold-weather;sensual;beast-mode;compliment-getter;mature-elegant;formal;signature;classic
900179|niche|office-safe;formal;mature-elegant;classic
900180|budget|youthful;compliment-getter;casual;modern
900181|mid|hot-weather;office-safe;classic;crowd-pleaser;blind-buy-safe;versatile;humid-safe;casual;clean
900182|mid|office-safe;hot-weather;versatile;clean;modern
900183|mid|hot-weather;humid-safe;office-safe;clean;casual
900184|mid|versatile;office-safe;signature;hot-weather;compliment-getter;blind-buy-safe
900185|mid|hot-weather;humid-safe;casual;clean;travel-friendly;office-safe
900186|mid|office-safe;clean;blind-buy-safe;versatile
900187|mid|date-night;evening;compliment-getter;cold-weather;mature-elegant;signature
900188|mid|youthful;compliment-getter;date-night;party
900189|mid|cosy;cold-weather;casual;compliment-getter;youthful
900190|mid|cold-weather;date-night;evening;cosy;compliment-getter
900191|mid|cold-weather;cosy;compliment-getter;date-night;beast-mode
900192|mid|evening;cold-weather;sensual;date-night
900193|mid|date-night;mature-elegant;cold-weather;evening
900194|mid|mature-elegant;evening;cold-weather;formal;date-night
900195|mid|modern;versatile;office-safe;date-night
900196|mid|office-safe;youthful;pink-coded;clean;casual;blind-buy-safe
900197|mid|evening;date-night;sensual;modern;versatile;compliment-getter;formal
900198|mid|evening;date-night;statement;modern
900199|mid|cold-weather;cosy;classic;evening
900200|mid|romantic;office-safe;pink-coded;casual
900201|mid|wedding;romantic;formal;statement;mature-elegant
900202|mid|statement;romantic;mature-elegant;wedding;formal
900203|mid|youthful;casual;crowd-pleaser;pink-coded;hot-weather
900204|mid|hot-weather;office-safe;casual;versatile;polarizing
900205|luxury|classic;mature-elegant;formal;evening;cold-weather
900206|luxury|classic;mature-elegant;polarizing;cold-weather
900207|luxury|date-night;evening;romantic;pink-coded;cold-weather;compliment-getter
900208|luxury|classic;mature-elegant;romantic;cosy;cold-weather;evening
900209|luxury|date-night;versatile;cosy;crowd-pleaser
900210|luxury|classic;mature-elegant;polarizing;formal;evening
900211|luxury|classic;evening;sensual;cold-weather;mature-elegant;statement;formal
900212|mid|classic;office-safe;mature-elegant;versatile;understated;signature;formal;clean
900213|budget|classic;statement;cold-weather;mature-elegant
900214|luxury|mature-elegant;formal;evening;statement;classic
900215|luxury|versatile;understated;signature;office-safe
900216|luxury|hot-weather;classic;humid-safe;understated;mature-elegant;office-safe
900217|luxury|office-safe;understated;mature-elegant;clean
900218|luxury|office-safe;mature-elegant;classic;signature;versatile;formal
900219|luxury|hot-weather;office-safe;modern;clean
900220|luxury|mature-elegant;signature;formal;office-safe;cold-weather
900221|luxury|hot-weather;humid-safe;understated;travel-friendly
900222|luxury|hot-weather;humid-safe;office-safe;understated;clean;casual
900223|luxury|clean;office-safe;understated;versatile;travel-friendly
900224|mid|office-safe;classic;versatile;blind-buy-safe;mature-elegant;signature;crowd-pleaser
900225|mid|office-safe;versatile;blind-buy-safe;mature-elegant
900226|mid|cold-weather;evening;mature-elegant;formal
900227|mid|understated;casual;cosy;blind-buy-safe
900228|mid|mature-elegant;office-safe;versatile;formal;understated
900229|mid|date-night;evening;compliment-getter;romantic;cold-weather;blind-buy-safe
900230|mid|casual;sporty;classic;hot-weather
900231|niche|modern;date-night;statement;compliment-getter
900232|niche|clean;skin-scent;office-safe;modern;understated
900233|niche|statement;beast-mode;cold-weather;evening
900234|niche|cosy;versatile;cold-weather;signature
900235|niche|date-night;cold-weather;sensual;evening;beast-mode
900236|mid|hot-weather;office-safe;clean;classic;mature-elegant;humid-safe
900237|mid|hot-weather;office-safe;classic;humid-safe;versatile;clean
900238|mid|hot-weather;party;compliment-getter;youthful;date-night;casual;travel-friendly
900239|mid|classic;compliment-getter;cold-weather;crowd-pleaser;date-night;blind-buy-safe;evening;cosy
900240|mid|beast-mode;cold-weather;evening;date-night;compliment-getter
900241|mid|evening;date-night;cold-weather;sensual;cosy;compliment-getter
900242|mid|party;evening;statement;cold-weather;polarizing;sensual
900243|mid|party;date-night;compliment-getter;youthful;cold-weather;beast-mode
900244|budget|clean;office-safe;skin-scent;blind-buy-safe
900245|mid|party;date-night;cold-weather;sensual
900246|mid|versatile;crowd-pleaser;youthful;blind-buy-safe
900247|luxury|office-safe;crowd-pleaser;casual;clean;blind-buy-safe;youthful
900248|luxury|versatile;modern;understated
900249|luxury|office-safe;understated;romantic;pink-coded;wedding;casual
900250|luxury|cold-weather;evening;modern;date-night
900251|luxury|office-safe;clean;understated;youthful
900252|luxury|hot-weather;humid-safe;skin-scent;understated;casual;modern;clean;travel-friendly;office-safe
900253|budget|beast-mode;cold-weather;evening;polarizing;classic;party
900254|mid|evening;cold-weather;mature-elegant;sensual
900255|mid|skin-scent;clean;office-safe;understated;casual;modern
900256|mid|youthful;casual;pink-coded;crowd-pleaser
900257|mid|cosy;cold-weather;sensual;compliment-getter
900258|mid|cosy;youthful;casual;cold-weather
900259|mid|classic;office-safe;mature-elegant;pink-coded;cosy;blind-buy-safe;versatile
900260|mid|hot-weather;casual;humid-safe;classic
900261|mid|hot-weather;casual;clean;blind-buy-safe
900262|niche|cold-weather;cosy;date-night;compliment-getter;evening;crowd-pleaser;party
900263|niche|cold-weather;evening;date-night;cosy;statement
900264|niche|romantic;wedding;compliment-getter
900265|niche|cold-weather;cosy;evening
900266|niche|date-night;romantic;compliment-getter;pink-coded;cosy;sensual;evening;cold-weather
900267|niche|hot-weather;casual;youthful
900268|niche|romantic;cosy;date-night;sensual
900269|niche|hot-weather;clean;modern;casual
900270|niche|cold-weather;evening;sensual;mature-elegant
900271|niche|sensual;evening;date-night;romantic
900272|budget|office-safe;cold-weather;mature-elegant;understated;classic
900273|mid|office-safe;pink-coded;modern;youthful;clean;understated
900274|mid|romantic;date-night;cold-weather
900275|mid|compliment-getter;crowd-pleaser;cold-weather;signature;date-night;cosy
900276|mid|date-night;cold-weather;compliment-getter;pink-coded
900277|mid|cosy;cold-weather;evening;date-night
900278|mid|classic;romantic;pink-coded;mature-elegant;compliment-getter;cold-weather;evening;signature
900279|budget|office-safe;clean;understated;blind-buy-safe;mature-elegant;romantic;versatile
900280|budget|casual;youthful;versatile
900281|budget|cold-weather;evening;date-night;cosy;statement
900282|budget|hot-weather;casual;modern;polarizing
900283|budget|cosy;versatile;compliment-getter
900284|budget|beast-mode;cold-weather;evening;statement;polarizing
900285|budget|cosy;cold-weather;pink-coded;compliment-getter
900286|budget|casual;cosy;crowd-pleaser;versatile
900287|budget|cold-weather;cosy;compliment-getter;crowd-pleaser;evening;beast-mode;party;sensual
900288|budget|cold-weather;evening;statement;cosy
900289|budget|cold-weather;cosy;evening;compliment-getter;date-night
900290|budget|cold-weather;cosy;evening;modern
900291|budget|cold-weather;evening;date-night;cosy
900292|budget|youthful;compliment-getter;pink-coded;cosy;blind-buy-safe;casual;crowd-pleaser
900293|budget|romantic;casual;versatile
900294|budget|hot-weather;youthful;pink-coded;casual;crowd-pleaser
900295|niche|clean;office-safe;modern;understated;signature;skin-scent
900296|niche|hot-weather;office-safe;clean;casual
900297|niche|statement;romantic;date-night
900298|niche|polarizing;beast-mode;statement;cold-weather
900299|niche|polarizing;modern;signature;statement
900300|niche|signature;modern;versatile;polarizing;office-safe
900301|niche|modern;versatile;office-safe;signature
900302|luxury|hot-weather;crowd-pleaser;compliment-getter;casual;travel-friendly;humid-safe
900303|luxury|date-night;cold-weather;sensual;evening;compliment-getter
900304|luxury|casual;versatile;modern;travel-friendly
900305|luxury|office-safe;versatile;clean;hot-weather;signature
900306|luxury|hot-weather;office-safe;versatile;crowd-pleaser;sporty
900307|luxury|office-safe;hot-weather;versatile;casual;clean
900308|luxury|statement;beast-mode;cold-weather;evening;polarizing
900309|luxury|hot-weather;casual;youthful;travel-friendly;humid-safe
900310|luxury|romantic;mature-elegant;wedding;office-safe
900311|budget|compliment-getter;modern;casual
900312|niche|clean;office-safe;modern;versatile;blind-buy-safe
900313|niche|romantic;office-safe;clean;pink-coded;wedding;understated
900314|niche|office-safe;versatile;mature-elegant;understated
900315|niche|clean;office-safe;hot-weather;humid-safe;understated;versatile
900316|niche|statement;compliment-getter;evening;beast-mode;signature;polarizing;modern;date-night;party
900317|niche|statement;evening;date-night;beast-mode;cold-weather
900318|niche|cosy;skin-scent;cold-weather;understated;versatile
900319|niche|modern;versatile;office-safe;understated
900320|niche|cold-weather;evening;cosy;sensual;formal;mature-elegant;date-night
900321|niche|modern;office-safe;versatile;clean
900322|niche|cold-weather;evening;statement;beast-mode;sensual
900323|luxury|hot-weather;casual;travel-friendly;youthful;skin-scent;humid-safe
900324|luxury|clean;skin-scent;office-safe;casual
900325|luxury|cold-weather;cosy;casual;crowd-pleaser;modern;evening;date-night
900326|luxury|cosy;casual;cold-weather;understated
900327|luxury|cold-weather;evening;cosy;casual;date-night;understated
900328|luxury|clean;office-safe;skin-scent;understated;blind-buy-safe;casual;cosy
900329|luxury|cosy;cold-weather;office-safe;understated
900330|niche|versatile;compliment-getter;office-safe;signature;crowd-pleaser
900331|niche|compliment-getter;date-night;crowd-pleaser;cold-weather;sensual
900332|niche|beast-mode;cold-weather;evening;statement
900333|mid|youthful;casual;office-safe;blind-buy-safe;hot-weather;clean
900334|mid|youthful;casual;hot-weather;blind-buy-safe;office-safe
900335|mid|youthful;casual;hot-weather;pink-coded;blind-buy-safe;crowd-pleaser
900336|mid|cosy;casual;youthful
900337|niche|evening;cold-weather;statement;polarizing;sensual
900338|niche|beast-mode;cold-weather;evening;statement;compliment-getter
900339|niche|cosy;cold-weather;date-night;compliment-getter;sensual
900340|niche|romantic;pink-coded;cosy;signature;versatile
900341|mid|versatile;casual;office-safe;blind-buy-safe;modern;travel-friendly;signature
900342|mid|office-safe;blind-buy-safe;casual;versatile;clean;crowd-pleaser;youthful
900343|mid|clean;office-safe;hot-weather;blind-buy-safe;casual
900344|mid|polarizing;beast-mode;cold-weather;evening;statement
900345|mid|evening;statement;beast-mode;signature;polarizing;cold-weather;sensual
900346|mid|compliment-getter;versatile;modern;hot-weather
900347|mid|polarizing;beast-mode;statement;cold-weather;classic;evening
900348|mid|evening;cold-weather;sensual;statement
900349|mid|cold-weather;cosy;evening;polarizing
900350|mid|youthful;pink-coded;modern;casual
900351|mid|polarizing;modern;statement;versatile
900352|mid|office-safe;sensual;classic;mature-elegant;versatile;signature
900353|mid|sensual;signature;pink-coded;office-safe;date-night;versatile;understated;mature-elegant;clean
900354|niche|statement;polarizing;beast-mode;evening;cold-weather
900355|budget|hot-weather;casual;sporty;blind-buy-safe;office-safe;humid-safe;clean
900356|budget|classic;romantic;mature-elegant;office-safe;understated
900357|niche|cold-weather;cosy;evening;sensual;signature;beast-mode
900358|niche|hot-weather;beast-mode;compliment-getter;versatile;statement;casual
900359|niche|romantic;date-night;compliment-getter;sensual
900360|niche|hot-weather;office-safe;clean;casual;humid-safe
900361|mid|party;crowd-pleaser;youthful;cold-weather;compliment-getter;evening;beast-mode;polarizing
900362|mid|polarizing;statement;date-night;modern
900363|mid|youthful;casual;modern;crowd-pleaser
900364|mid|sporty;youthful;hot-weather;casual;crowd-pleaser;compliment-getter
900365|mid|hot-weather;sporty;casual;humid-safe;youthful
900366|mid|sporty;hot-weather;modern;casual;office-safe
900367|mid|cold-weather;evening;date-night;compliment-getter;crowd-pleaser
900368|mid|beast-mode;cold-weather;evening;compliment-getter;party
900369|mid|party;beast-mode;statement;evening;polarizing;youthful
900370|mid|sensual;date-night;versatile;compliment-getter;modern
900371|mid|youthful;casual;modern;polarizing
900372|mid|versatile;date-night;modern;cosy
900373|mid|party;evening;polarizing;cold-weather
900374|niche|cold-weather;date-night;compliment-getter;cosy;evening
900375|niche|pink-coded;romantic;compliment-getter;wedding;signature;date-night;modern
900376|niche|evening;date-night;beast-mode;statement;cold-weather;party
900377|niche|pink-coded;romantic;office-safe;youthful
900378|niche|office-safe;versatile;clean;blind-buy-safe;casual
900379|niche|cold-weather;evening;formal;mature-elegant;statement
900380|niche|cold-weather;cosy;evening;date-night
900381|niche|compliment-getter;date-night;cold-weather;crowd-pleaser;versatile;blind-buy-safe;evening;signature
900382|niche|cold-weather;evening;date-night;statement;beast-mode
900383|niche|cosy;versatile;compliment-getter;cold-weather
900384|niche|office-safe;versatile;clean;blind-buy-safe;crowd-pleaser
900385|niche|hot-weather;office-safe;clean;sporty;casual
900386|niche|clean;office-safe;versatile;signature;understated
900387|budget|youthful;hot-weather;party;casual
900388|budget|youthful;casual;hot-weather
900389|niche|office-safe;versatile;classic;mature-elegant
900390|niche|evening;formal;mature-elegant;cold-weather;statement;sensual
900391|niche|cold-weather;evening;compliment-getter;mature-elegant
900392|mid|youthful;cosy;cold-weather;casual;compliment-getter;date-night;evening;statement
900393|mid|skin-scent;cosy;understated;office-safe
900394|mid|office-safe;clean;understated;blind-buy-safe;mature-elegant;versatile;classic
900395|mid|office-safe;clean;formal;understated;mature-elegant;versatile;modern;blind-buy-safe;signature
900396|mid|mature-elegant;office-safe;formal;understated;cold-weather
900397|mid|office-safe;clean;understated;versatile;mature-elegant
900398|mid|office-safe;clean;understated;casual;versatile
900399|mid|date-night;evening;sensual;understated;modern;cosy
900400|mid|versatile;office-safe;casual;modern;blind-buy-safe;clean
900401|mid|office-safe;clean;versatile;modern;casual
900402|mid|versatile;casual;date-night;youthful;crowd-pleaser
900403|mid|modern;office-safe;versatile;signature;compliment-getter
900404|mid|modern;evening;signature;cold-weather
900405|budget|hot-weather;party;compliment-getter;youthful;beast-mode;date-night
900406|budget|hot-weather;humid-safe;compliment-getter;casual;youthful
900407|budget|skin-scent;casual;office-safe;understated
900408|budget|party;date-night;sensual;evening
900409|budget|youthful;casual;versatile;pink-coded
900410|budget|sensual;cold-weather;evening;beast-mode
900411|budget|evening;cold-weather;date-night;casual
900412|niche|versatile;statement;mature-elegant
900413|niche|office-safe;versatile;hot-weather;crowd-pleaser
900414|niche|cold-weather;cosy;evening;statement
900415|niche|cold-weather;cosy;evening;sensual;signature
900416|niche|cold-weather;cosy;statement;casual
900417|niche|statement;romantic;evening
900418|niche|cosy;cold-weather;sensual;evening
900419|mid|romantic;classic;mature-elegant;pink-coded;signature
900420|budget|cold-weather;evening;statement;polarizing
900421|niche|cold-weather;statement;evening;signature
900422|niche|compliment-getter;beast-mode;youthful;crowd-pleaser
900423|luxury|date-night;sensual;evening;compliment-getter
900424|luxury|evening;statement;polarizing;sensual;cold-weather;formal;mature-elegant
900425|luxury|evening;cold-weather;statement;polarizing;date-night
900426|luxury|hot-weather;casual;travel-friendly;polarizing
900427|luxury|cold-weather;evening;statement;signature;polarizing
900428|luxury|evening;cold-weather;sensual;statement
900429|luxury|office-safe;formal;modern;mature-elegant;clean;versatile
900430|luxury|date-night;sensual;party;polarizing;evening;cold-weather
900431|luxury|hot-weather;mature-elegant;wedding;office-safe;humid-safe
900432|luxury|evening;cold-weather;sensual;statement;polarizing
900433|luxury|cold-weather;signature;versatile;statement;modern;evening;date-night;sensual
900434|luxury|office-safe;versatile;cold-weather;signature;understated;blind-buy-safe
900435|luxury|statement;modern;date-night;signature;sensual;pink-coded
900436|luxury|hot-weather;sensual;date-night;statement;compliment-getter
900437|luxury|cold-weather;evening;statement;beast-mode;cosy
900438|luxury|cold-weather;cosy;evening;beast-mode;signature;date-night;statement;sensual
900439|luxury|statement;polarizing;cold-weather;evening;beast-mode
900440|luxury|cosy;sensual;date-night;cold-weather;statement
900441|luxury|evening;cold-weather;sensual;date-night;statement
900442|budget|casual;hot-weather;sporty;clean;youthful;office-safe
900443|mid|party;evening;date-night;compliment-getter;cold-weather;modern
900444|mid|cold-weather;cosy;evening;compliment-getter;date-night
900445|mid|youthful;romantic;date-night;pink-coded
900446|mid|modern;youthful;compliment-getter;versatile;casual;date-night
900447|mid|date-night;evening;cold-weather;sensual;compliment-getter
900448|mid|classic;mature-elegant;formal;wedding;evening
900449|mid|hot-weather;pink-coded;youthful;crowd-pleaser;blind-buy-safe;casual
900450|mid|office-safe;versatile;casual;blind-buy-safe;crowd-pleaser;modern
900451|mid|party;youthful;compliment-getter;beast-mode;crowd-pleaser;evening;date-night;cold-weather
900452|mid|date-night;evening;compliment-getter;cold-weather;party
900453|mid|hot-weather;casual;office-safe;versatile;modern
900454|mid|cold-weather;evening;date-night;compliment-getter;youthful
900455|mid|office-safe;hot-weather;blind-buy-safe;clean;versatile;casual;humid-safe
900456|mid|hot-weather;office-safe;clean;casual;youthful
900457|mid|youthful;compliment-getter;hot-weather;pink-coded;casual;crowd-pleaser;party
900458|mid|date-night;party;evening;youthful
900459|mid|youthful;cosy;date-night;compliment-getter
900460|mid|party;evening;compliment-getter;pink-coded;romantic;statement;date-night;sensual;cold-weather
900461|mid|cold-weather;evening;date-night;crowd-pleaser;compliment-getter;modern;party;statement
900462|niche|formal;cold-weather;statement;mature-elegant;evening
900463|niche|beast-mode;compliment-getter;youthful;statement;party
900464|niche|cold-weather;signature;compliment-getter;cosy;evening;formal;mature-elegant
900465|niche|hot-weather;sporty;clean;office-safe;casual
900466|mid|party;date-night;evening;compliment-getter;youthful;cold-weather;crowd-pleaser;sensual
900467|mid|evening;cold-weather;beast-mode;date-night;sensual
900468|mid|date-night;romantic;evening;compliment-getter;sensual;classic
900469|mid|office-safe;blind-buy-safe;versatile;clean;understated;crowd-pleaser
900470|mid|versatile;compliment-getter;modern;signature;office-safe;cold-weather
900471|mid|cold-weather;compliment-getter;evening;signature;cosy
